CUSTOMERID,GEOGRAPHY,GENDER,AGE,TENURE,BALANCE,NUMOFPRODUCTS,HASCRCARD,ISACTIVEMEMBER,ESTIMATEDSALARY,EXITED,TRANSACTIONTIMESTAMP,DEBTTOINCOME,PREDICTED_CHURN,CREDITSCORE
46,Spain,Male,43,0,0,3,1,0,223586.88,1,1/20/25 23:24,66,9999,304
47,Italy,Male,91,9,0,4,0,1,96415.33,1,1/24/25 0:53,58,9999,493
48,Spain,Male,47,2,130072.29,3,1,0,51913.13,1,1/22/25 16:35,111,9999,569
49,Italy,Female,26,9,0,4,1,1,21862.11,1,1/28/25 9:28,62,9999,380
50,France,Female,27,0,0,2,0,0,235245.64,1,1/18/25 3:24,56,9999,556
51,Spain,Female,74,1,0,3,1,1,5930.2,1,1/16/25 10:34,67,9999,384
52,Italy,Male,28,1,130072.29,1,1,0,199041.89,1,1/18/25 7:12,94,9999,270
53,Spain,Female,22,6,130072.29,4,0,1,69797.44,0,2/3/25 3:41,73,9999,578
54,Italy,Male,26,3,130072.29,4,0,0,64399,1,1/27/25 17:15,104,9999,416
55,Spain,Male,27,9,0,3,1,0,43597.25,1,1/26/25 1:22,81,9999,523
56,France,Male,19,8,130072.29,3,0,1,52475.9,0,1/24/25 0:18,56,9999,637
57,Italy,Female,40,1,130072.29,2,0,1,130942.95,1,1/14/25 11:24,69,9999,338
58,Italy,Female,20,8,0,1,0,0,219496.83,1,1/9/25 2:20,68,9999,565
59,Italy,Male,25,5,130072.29,2,1,0,95042.42,0,1/17/25 0:04,111,9999,263
60,Italy,Female,53,9,0,1,0,1,187663.44,1,1/31/25 5:02,63,9999,491
61,Italy,Male,26,7,0,1,0,0,65429.89,1,1/11/25 22:15,81,9999,514
62,Italy,Female,61,6,0,4,0,1,226508.85,1,1/27/25 8:01,58,9999,595
63,Italy,Male,24,10,0,1,0,1,228912.22,1,1/30/25 13:46,98,9999,302
64,Germany,Male,86,7,0,3,1,1,31522.8,0,1/1/25 7:36,65,9999,635
65,Italy,Male,21,8,130072.29,4,1,0,210510.21,1,1/24/25 0:09,73,9999,589
66,Italy,Female,18,7,0,2,0,0,176963.82,1,1/18/25 18:42,79,9999,341
67,France,Female,68,5,0,1,1,1,101490.65,0,2/1/25 9:38,57,9999,616
68,Italy,Female,42,7,0,4,0,0,209520.08,1,1/8/25 12:48,59,9999,693
69,Italy,Female,22,7,0,3,1,1,226353.24,1,2/3/25 8:40,85,9999,677
70,Italy,Female,92,1,130072.29,2,1,1,126612.19,1,1/9/25 19:59,73,9999,513
71,Spain,Male,27,1,0,4,0,1,129654.81,1,1/1/25 15:19,57,9999,680
72,Germany,Female,85,10,0,4,0,1,177548.04,1,1/16/25 2:40,50,9999,284
73,Italy,Male,27,0,130072.29,3,0,0,64834.03,1,1/16/25 5:15,82,9999,455
74,France,Female,26,9,0,3,0,1,23813.81,1,1/11/25 0:05,80,9999,330
75,France,Female,26,1,130072.29,1,0,0,134526.87,1,1/18/25 18:29,111,9999,669
76,France,Female,24,6,0,2,1,1,83498.8,1,1/16/25 1:53,84,9999,299
77,France,Male,27,10,130072.29,4,0,1,35108.19,1,2/1/25 9:16,93,9999,609
78,France,Female,26,2,130072.29,3,0,0,39330.78,1,1/5/25 13:22,96,9999,637
79,Italy,Male,18,3,130072.29,3,1,1,57187.71,1,1/11/25 15:54,81,9999,251
80,Italy,Female,22,3,130072.29,4,0,0,87757.6,1,1/3/25 17:33,112,9999,639
81,Italy,Male,21,3,130072.29,3,1,0,112025.39,1,1/8/25 19:08,71,9999,303
82,Spain,Male,67,1,0,3,1,1,239359.21,1,1/3/25 13:13,56,9999,355
83,France,Male,29,10,0,1,0,0,123882.24,1,1/9/25 16:46,55,9999,509
84,Germany,Male,44,5,130072.29,4,0,1,228784.29,1,1/5/25 8:17,90,9999,559
85,Spain,Female,86,0,0,1,0,1,138831.79,1,1/14/25 18:42,61,9999,440
86,Italy,Female,29,4,0,2,1,1,43730.71,0,1/11/25 16:44,89,9999,651
87,France,Male,92,1,0,3,0,0,211518.38,1,1/17/25 9:18,118,9999,467
88,France,Female,23,8,0,1,1,1,9037.72,1,1/23/25 0:23,107,9999,293
89,Spain,Male,21,1,130072.29,4,0,0,143115.56,1,1/30/25 15:43,52,9999,411
90,Spain,Female,25,5,130072.29,2,0,1,88744.29,1,1/31/25 0:08,92,9999,451
91,France,Female,26,3,0,2,1,1,112368.23,1,1/22/25 22:28,57,9999,695
92,Italy,Female,73,5,130072.29,1,1,0,200377.23,1,1/17/25 23:22,62,9999,519
93,Germany,Male,28,1,130072.29,1,1,1,6336.86,1,1/9/25 6:43,105,9999,600
94,Italy,Female,23,1,0,3,0,0,49671.04,1,1/15/25 13:20,68,9999,553
95,Germany,Male,40,6,0,1,1,0,204103.76,0,1/10/25 16:18,72,9999,520
96,Spain,Female,27,2,130072.29,1,0,1,138643.12,1,1/6/25 15:18,92,9999,464
97,Italy,Male,21,2,0,1,0,0,68287.09,1,1/6/25 6:26,73,9999,501
98,France,Female,28,6,0,2,1,0,126951.43,1,2/2/25 23:14,52,9999,439
99,Italy,Male,76,7,0,4,0,0,103713.66,1,1/31/25 0:30,63,9999,545
100,Italy,Male,61,6,0,1,0,1,193331.74,1,1/12/25 20:07,82,9999,462
101,Italy,Male,28,2,130072.29,2,0,1,190351.75,0,1/31/25 20:59,76,9999,457
102,Germany,Female,25,2,130072.29,2,1,1,118463.55,0,2/1/25 11:36,61,9999,486
103,Spain,Male,19,6,0,1,0,1,72595.26,1,1/8/25 17:33,95,9999,587
104,Spain,Female,26,2,130072.29,2,1,0,7955.76,1,1/4/25 11:50,120,9999,616
105,Italy,Male,42,1,0,3,1,0,120780.95,0,1/1/25 3:17,95,9999,302
106,Spain,Male,24,6,0,4,0,1,150174.18,1,1/14/25 6:04,65,9999,529
107,Germany,Male,22,2,130072.29,3,0,1,153336.74,1,1/25/25 12:28,107,9999,659
108,Italy,Female,81,4,0,4,0,0,217654.39,1,2/2/25 20:07,63,9999,466
109,Italy,Female,57,6,130072.29,2,0,0,119517.88,1,1/3/25 13:16,92,9999,501
110,Italy,Female,29,1,130072.29,1,1,0,181508.53,1,1/20/25 13:02,74,9999,437
111,Spain,Female,20,7,0,1,1,0,36163.15,1,1/20/25 13:02,64,9999,629
112,France,Female,20,1,130072.29,2,1,1,192179.72,1,1/4/25 11:46,79,9999,290
113,Germany,Female,19,3,0,1,1,0,114062.69,1,1/1/25 4:23,93,9999,406
114,Italy,Female,29,3,0,2,1,0,175121.01,1,1/26/25 11:04,58,9999,264
115,Germany,Male,20,7,130072.29,3,1,1,209612.38,0,1/18/25 11:06,60,9999,550
116,Italy,Male,61,10,130072.29,2,0,0,67225.93,1,1/17/25 17:58,115,9999,314
117,Italy,Female,94,0,0,2,1,1,168318.02,1,2/1/25 13:34,71,9999,594
118,France,Female,24,8,130072.29,3,0,1,35195.87,0,1/27/25 18:00,69,9999,576
119,Italy,Female,26,5,0,3,1,1,32351.44,1,1/5/25 16:37,78,9999,258
120,Germany,Female,33,3,0,2,1,0,74479.62,1,1/8/25 18:47,112,9999,593
121,Italy,Female,82,5,130072.29,3,0,0,37077.68,1,1/12/25 20:18,90,9999,378
122,France,Male,73,5,130072.29,4,1,1,115966.11,1,1/15/25 7:27,97,9999,385
123,Italy,Female,19,8,0,3,1,1,217561.49,1,1/22/25 23:31,76,9999,312
124,France,Female,21,10,130072.29,1,0,0,23217.98,1,1/10/25 8:53,80,9999,388
125,Italy,Female,42,3,130072.29,3,0,0,94026.33,0,1/7/25 1:00,74,9999,330
126,Italy,Male,30,7,130072.29,3,1,0,55909.71,1,1/11/25 2:39,98,9999,641
127,Spain,Male,20,0,130072.29,2,1,0,117395.55,1,1/28/25 4:34,119,9999,412
128,Italy,Male,27,5,130072.29,3,0,1,160397.83,1,1/8/25 19:44,113,9999,668
129,Germany,Male,48,4,0,4,1,0,213972.34,1,1/27/25 17:39,105,9999,538
130,Spain,Female,22,2,0,2,1,0,10764.91,0,1/19/25 20:22,56,9999,628
131,Italy,Male,68,3,130072.29,4,0,0,144203.88,1,1/12/25 5:25,119,9999,510
132,Italy,Male,18,7,0,1,1,1,174020.54,1,1/5/25 12:18,84,9999,480
133,France,Male,48,10,0,2,1,0,38037.82,1,1/26/25 11:13,70,9999,290
134,Spain,Male,29,10,0,2,0,1,234711.85,1,1/25/25 3:30,96,9999,277
135,Spain,Male,23,9,0,1,0,1,24832.5,1,1/29/25 14:33,109,9999,384
136,France,Female,35,10,130072.29,1,1,1,83448.22,0,1/21/25 19:19,66,9999,450
137,Germany,Male,48,1,0,4,0,0,63434.46,1,1/23/25 22:51,66,9999,577
138,Italy,Male,81,7,0,3,1,1,21610.98,1,2/1/25 3:01,120,9999,517
139,Spain,Male,24,6,130072.29,2,1,1,176496.53,0,1/12/25 16:50,74,9999,667
140,Spain,Female,30,0,130072.29,2,0,1,130262.31,1,1/31/25 0:17,83,9999,282
141,Italy,Female,29,1,0,4,1,0,109645.6,1,1/3/25 0:08,75,9999,297
142,Italy,Female,27,6,0,2,1,1,53863.64,1,1/22/25 1:15,55,9999,656
143,Italy,Female,72,10,130072.29,1,1,1,113502.19,1,1/14/25 15:31,59,9999,311
144,Italy,Female,18,10,130072.29,2,0,0,225803.92,1,1/2/25 2:33,52,9999,465
145,Germany,Female,23,2,0,3,1,1,92024.52,0,1/22/25 20:24,108,9999,542
146,Italy,Female,27,1,0,1,1,1,129645.5,0,1/19/25 4:43,118,9999,348
147,Italy,Female,21,0,0,4,1,1,232525.22,1,1/26/25 11:22,97,9999,421
148,Italy,Male,76,6,0,4,1,0,174350.11,1,1/30/25 23:10,72,9999,609
149,Spain,Male,30,2,0,2,0,0,15255.28,1,1/24/25 16:05,54,9999,463
150,France,Female,26,5,130072.29,1,1,1,86430.19,1,1/16/25 16:45,105,9999,284
151,Italy,Male,55,9,0,1,0,0,244214.26,1,1/4/25 18:50,87,9999,698
152,Italy,Female,26,7,130072.29,1,1,0,216968.85,0,1/1/25 20:33,56,9999,476
153,Spain,Male,28,5,0,2,0,1,221258.05,0,1/25/25 19:53,66,9999,350
154,Germany,Male,18,6,0,2,0,1,233841.67,1,1/18/25 2:57,58,9999,680
155,Italy,Female,24,10,0,4,1,1,160220.3,1,1/2/25 23:21,95,9999,380
156,Italy,Male,20,5,0,3,1,1,196169.97,1,1/14/25 2:52,86,9999,506
157,Italy,Female,30,6,0,1,1,1,165110.76,1,1/6/25 23:40,56,9999,254
158,Italy,Female,26,4,130072.29,2,0,1,134456.89,0,1/26/25 6:26,66,9999,467
159,France,Male,23,8,130072.29,2,1,1,132360.89,1,1/30/25 15:55,90,9999,504
160,Spain,Female,26,2,130072.29,3,0,0,8177.87,1,1/27/25 1:36,113,9999,647
161,Italy,Male,21,5,130072.29,2,1,1,61804.14,1,1/25/25 1:22,106,9999,608
162,Germany,Male,79,8,0,2,0,1,12107.2,1,1/8/25 7:14,94,9999,532
163,Italy,Female,19,0,130072.29,2,1,0,115188.95,1,1/14/25 14:03,57,9999,642
164,Germany,Female,66,4,130072.29,1,1,1,181725.09,1,1/9/25 15:27,59,9999,456
165,Germany,Female,27,3,0,3,1,1,234864.42,1,1/20/25 10:42,103,9999,264
166,Italy,Female,29,8,130072.29,4,0,1,8327.82,0,1/4/25 12:01,115,9999,595
167,Italy,Female,23,10,0,3,1,1,125220.06,0,1/13/25 2:48,93,9999,291
168,France,Male,88,10,0,3,0,1,176463.21,0,1/11/25 3:27,97,9999,629
169,Italy,Female,23,0,0,4,1,1,168464.1,1,1/17/25 2:28,120,9999,428
170,Italy,Male,28,3,130072.29,4,0,0,189456.62,1,1/21/25 19:19,51,9999,312
171,France,Female,94,0,130072.29,2,0,0,212084.95,1,1/4/25 5:25,55,9999,601
172,Spain,Male,70,2,130072.29,2,1,0,228969.8,1,1/16/25 17:32,94,9999,480
173,Italy,Male,27,3,0,2,0,0,49198.34,0,1/16/25 1:53,59,9999,490
174,Germany,Male,93,0,0,1,0,1,239003.7,1,1/15/25 0:10,58,9999,301
175,Italy,Male,31,4,130072.29,1,1,0,202435.01,0,1/6/25 19:57,81,9999,345
176,Germany,Male,21,5,0,3,0,1,225478.53,1,1/15/25 8:49,51,9999,637
177,France,Female,25,0,0,1,1,1,89093.53,1,1/17/25 6:20,70,9999,471
178,Spain,Male,24,9,0,1,1,0,249650.35,1,1/18/25 21:31,52,9999,656
179,Italy,Female,24,10,0,4,1,0,7988.65,1,1/30/25 3:07,72,9999,480
180,France,Male,44,9,130072.29,2,0,1,218319.79,1,2/3/25 23:15,86,9999,486
181,France,Female,28,3,130072.29,4,0,1,171340.55,1,1/21/25 8:18,85,9999,392
182,Italy,Male,18,3,0,2,0,0,38755,1,1/15/25 1:37,63,9999,420
183,Italy,Male,69,0,0,3,1,1,208657.47,1,1/20/25 15:38,64,9999,278
184,Italy,Female,23,1,0,4,0,1,199347.53,1,1/3/25 7:02,84,9999,285
185,Italy,Female,95,10,0,2,1,1,137184.5,1,2/3/25 13:28,71,9999,262
186,Spain,Male,86,9,130072.29,4,0,1,160258.08,1,1/13/25 15:24,96,9999,409
187,Italy,Male,83,4,0,4,1,1,36208.29,1,1/3/25 17:16,85,9999,576
188,Italy,Female,55,1,0,2,0,1,117230.08,1,1/30/25 12:06,64,9999,436
189,Germany,Male,22,2,0,1,0,0,14703.77,1,1/22/25 5:47,107,9999,492
190,Italy,Male,27,8,0,4,1,1,146425.98,1,1/30/25 17:09,80,9999,335
191,France,Female,22,4,130072.29,3,0,1,115675.1,1,1/30/25 14:34,90,9999,533
192,Italy,Male,22,0,0,1,0,0,25957.71,1,1/23/25 7:01,75,9999,315
193,Spain,Male,29,4,0,4,1,1,105912.95,1,2/2/25 12:39,79,9999,419
194,Spain,Female,18,2,0,3,1,1,112279.09,1,1/29/25 5:20,61,9999,294
195,Spain,Male,89,0,130072.29,3,0,0,185711,1,1/27/25 13:04,80,9999,311
196,Italy,Female,78,2,130072.29,2,0,0,18095.99,0,2/3/25 20:04,51,9999,690
197,Germany,Female,25,10,0,1,1,0,155412.87,1,1/13/25 23:57,69,9999,383
198,Italy,Male,27,5,130072.29,1,0,1,130654.52,1,1/1/25 18:12,107,9999,533
199,Italy,Male,26,9,130072.29,2,0,1,72353.86,1,1/24/25 16:55,69,9999,277
200,Italy,Female,70,4,0,4,0,0,187381.52,1,1/24/25 17:11,83,9999,357
201,France,Female,30,0,130072.29,4,1,1,142924.25,1,1/27/25 20:50,109,9999,293
202,Italy,Male,23,10,0,3,0,1,132481.72,1,1/5/25 23:01,83,9999,589
203,France,Female,26,1,130072.29,3,0,0,238326.05,1,1/4/25 3:39,86,9999,535
204,Italy,Male,25,4,0,3,1,0,204574.36,1,1/4/25 19:46,116,9999,695
205,Italy,Female,87,8,0,3,1,0,55575.19,1,1/21/25 16:05,68,9999,580
206,Germany,Female,21,10,130072.29,2,1,0,100052.2,1,1/23/25 9:40,101,9999,377
207,Italy,Female,19,4,0,4,0,0,167408.1,1,1/6/25 14:30,93,9999,597
208,Germany,Male,70,4,0,3,0,0,139772.14,1,1/30/25 23:17,76,9999,480
209,Italy,Female,73,0,130072.29,1,1,0,110521.78,1,2/2/25 19:46,87,9999,439
210,Germany,Female,68,4,130072.29,3,1,1,245426.87,1,2/1/25 6:02,70,9999,474
211,France,Female,27,7,130072.29,3,1,1,45652.78,0,1/16/25 12:53,87,9999,634
212,Italy,Female,30,8,0,4,0,1,87944.2,0,1/19/25 13:41,62,9999,626
213,Italy,Male,28,9,0,3,1,1,102079.29,1,1/7/25 21:50,70,9999,532
214,France,Female,19,2,0,2,1,0,21747.72,1,1/22/25 15:53,91,9999,695
215,Germany,Male,29,3,0,4,0,0,119646.97,1,1/22/25 6:16,97,9999,370
216,Italy,Female,18,6,0,4,0,1,133524.66,1,1/7/25 5:17,95,9999,365
217,Italy,Female,24,6,0,3,1,0,69826.14,1,1/16/25 4:42,106,9999,482
218,Spain,Male,81,0,0,2,1,0,240658,1,1/19/25 21:41,101,9999,508
219,France,Male,23,10,0,4,1,0,136155.84,1,2/1/25 20:43,71,9999,608
220,Italy,Female,82,5,0,1,1,1,147535.34,1,1/17/25 4:01,66,9999,447
221,Italy,Female,22,8,130072.29,3,1,1,223986.03,0,1/6/25 12:09,75,9999,660
222,Italy,Female,23,4,0,4,1,1,72189.28,1,1/28/25 21:16,88,9999,386
223,France,Male,29,7,0,3,1,1,160377.06,1,1/21/25 3:24,120,9999,567
224,Italy,Female,44,10,0,1,0,0,115064.07,1,1/13/25 11:40,112,9999,414
225,Spain,Male,27,9,0,3,0,0,96005.86,1,1/10/25 17:37,100,9999,474
226,Italy,Female,70,10,0,3,1,1,97427.27,1,1/18/25 20:20,79,9999,556
227,Italy,Male,18,8,0,2,1,1,10887.84,1,2/1/25 9:33,90,9999,483
228,France,Male,79,9,130072.29,2,0,0,206174.99,1,1/17/25 12:11,82,9999,421
229,Spain,Male,21,9,0,1,1,1,148483.73,1,1/21/25 2:32,99,9999,401
230,Germany,Female,70,2,0,2,0,1,233502.5,1,1/13/25 10:03,112,9999,564
231,Italy,Female,25,0,0,4,0,1,212138.88,1,1/24/25 23:12,88,9999,623
232,Germany,Male,59,1,0,2,1,1,246297.97,1,1/7/25 16:35,77,9999,409
233,France,Male,30,4,0,4,1,0,13293.25,1,1/11/25 19:05,67,9999,345
234,Italy,Male,21,9,130072.29,1,1,1,163857.63,1,1/29/25 16:28,108,9999,482
235,Italy,Female,78,6,0,1,0,1,238882.96,1,1/15/25 8:08,115,9999,429
236,Italy,Female,22,10,130072.29,3,1,0,193287.17,1,1/19/25 23:26,92,9999,362
237,Italy,Female,22,5,0,4,1,0,82733.02,1,1/3/25 18:19,62,9999,567
238,Spain,Male,55,3,130072.29,3,1,0,32572.91,1,1/16/25 13:49,50,9999,691
239,Italy,Female,19,8,0,3,0,0,168725.15,1,1/12/25 18:41,81,9999,301
240,Spain,Female,22,10,0,3,0,0,166303.88,1,1/23/25 17:00,59,9999,517
241,France,Female,27,3,0,4,0,0,76611.29,1,1/6/25 7:28,64,9999,544
242,France,Male,59,2,0,2,0,0,202387.53,1,1/16/25 8:04,66,9999,635
243,France,Female,20,10,130072.29,4,1,0,159865.6,1,1/7/25 5:52,112,9999,636
244,Italy,Female,28,4,0,2,1,0,106609.23,0,1/3/25 7:25,103,9999,362
245,Italy,Female,33,3,130072.29,4,0,0,119117.62,1,1/16/25 20:35,72,9999,350
246,Italy,Female,65,1,0,1,1,1,65690.95,1,1/21/25 21:34,120,9999,362
247,France,Female,82,2,0,1,1,0,136961.15,1,1/27/25 23:10,99,9999,689
248,Italy,Male,49,6,130072.29,2,0,0,128004.34,1,2/3/25 15:30,108,9999,330
249,Germany,Male,30,1,0,3,0,0,236104.53,1,1/29/25 4:27,85,9999,436
250,Italy,Male,26,0,130072.29,3,0,1,129782.36,0,1/11/25 20:31,55,9999,362
251,Italy,Male,20,1,0,3,0,0,195485.73,1,1/26/25 14:18,115,9999,251
252,Italy,Female,33,7,0,3,0,0,155481.08,1,1/17/25 4:20,81,9999,379
253,Spain,Female,94,7,0,4,0,1,60179.9,1,2/2/25 0:56,102,9999,469
254,Germany,Male,38,9,130072.29,1,0,0,17139.71,1,1/17/25 6:44,118,9999,303
255,Italy,Male,18,1,0,4,0,0,176973.11,1,1/6/25 4:10,51,9999,592
256,France,Male,27,5,130072.29,4,1,1,201575.49,1,1/29/25 0:11,92,9999,473
257,Italy,Female,29,10,130072.29,4,0,0,219349.97,1,1/11/25 22:47,89,9999,474
258,Spain,Female,30,10,130072.29,2,1,0,172512.64,1,1/13/25 1:18,117,9999,634
259,France,Female,35,10,130072.29,1,0,0,111397.98,1,1/29/25 9:04,53,9999,652
260,Italy,Male,28,6,130072.29,2,0,0,125676.65,1,1/29/25 4:14,95,9999,375
261,France,Male,22,0,0,3,0,0,191285.95,1,2/3/25 22:22,69,9999,379
262,Italy,Male,83,6,130072.29,1,0,0,48638.94,1,1/2/25 21:54,63,9999,302
263,Spain,Female,30,10,130072.29,2,0,0,115913.27,1,2/3/25 8:01,63,9999,421
264,Italy,Female,22,7,0,2,0,1,18215.9,1,1/7/25 17:51,98,9999,467
265,France,Male,23,8,0,4,1,1,30791.96,1,1/29/25 15:52,52,9999,409
266,Italy,Male,79,7,0,2,0,0,61544.6,1,1/9/25 14:04,70,9999,447
267,Germany,Female,71,2,0,2,0,0,159361.03,1,2/1/25 15:40,110,9999,665
268,Germany,Female,25,7,0,3,1,0,230423.88,1,1/16/25 21:21,51,9999,496
269,France,Male,18,2,130072.29,3,1,0,94407.46,1,1/22/25 1:59,70,9999,573
270,France,Male,18,5,130072.29,2,0,1,127585.22,0,1/23/25 6:52,59,9999,688
271,Spain,Female,23,3,130072.29,2,1,0,144776.9,1,1/1/25 5:26,68,9999,452
272,Italy,Male,29,6,0,2,1,1,74721.11,1,1/24/25 21:18,102,9999,433
273,Italy,Male,28,7,0,4,0,1,173996.05,1,1/31/25 16:19,98,9999,372
274,Italy,Female,29,9,130072.29,4,1,1,57037.59,0,1/28/25 13:03,57,9999,650
275,Spain,Male,34,5,130072.29,4,1,0,51382.55,1,1/24/25 2:41,106,9999,504
276,Italy,Female,18,9,130072.29,3,0,0,55424.68,1,1/31/25 21:57,73,9999,543
277,Germany,Male,19,3,130072.29,1,0,0,122424.15,1,1/18/25 11:43,96,9999,529
278,France,Female,24,7,130072.29,4,1,1,66301.62,0,1/1/25 8:16,70,9999,574
279,Italy,Male,20,6,130072.29,4,1,0,111130.74,1,2/1/25 17:56,57,9999,621
280,Italy,Male,19,9,0,2,1,0,97336.11,1,1/20/25 9:39,68,9999,347
281,Italy,Male,29,7,0,4,1,0,208594.07,1,1/12/25 22:25,79,9999,447
282,Italy,Female,55,9,0,1,1,0,58669.67,1,1/9/25 16:17,75,9999,644
283,Italy,Male,42,6,130072.29,3,0,0,79993.67,0,1/21/25 16:52,69,9999,489
284,Italy,Male,56,2,130072.29,4,1,0,238333.68,1,1/24/25 23:14,94,9999,393
285,Spain,Female,30,2,0,3,1,1,64935.28,0,1/5/25 19:40,113,9999,346
286,Spain,Male,38,8,0,4,1,1,200239.45,1,1/11/25 18:30,79,9999,450
287,Italy,Female,23,6,0,3,0,0,39686.12,1,1/26/25 17:24,102,9999,373
288,Italy,Female,94,0,130072.29,3,0,1,148746.7,0,1/22/25 5:37,99,9999,436
289,Italy,Female,21,2,0,4,1,1,27536.41,1,1/19/25 19:17,111,9999,575
290,France,Male,21,10,0,4,0,0,105448.36,1,1/9/25 0:15,91,9999,598
291,Germany,Female,23,0,0,3,0,0,239129.92,1,1/18/25 11:55,77,9999,508
292,Italy,Male,90,5,130072.29,1,1,1,162445.15,1,1/1/25 17:05,107,9999,397
293,Italy,Female,93,1,0,1,0,1,55876.32,1,1/10/25 13:19,80,9999,501
294,Germany,Male,51,6,0,1,1,1,203167.83,1,2/3/25 10:12,108,9999,692
295,France,Female,29,7,0,1,1,1,165349.9,0,1/5/25 3:55,61,9999,669
296,Italy,Female,27,5,130072.29,4,1,1,232290.54,1,1/30/25 9:09,94,9999,652
297,France,Male,89,4,0,2,0,1,61045.75,1,1/19/25 9:49,115,9999,595
298,Italy,Female,30,9,0,3,1,1,34711.3,1,1/1/25 15:32,117,9999,700
299,Italy,Male,84,3,0,1,1,1,160553.27,1,1/11/25 3:51,81,9999,396
