CUSTOMERID,CREDITSCORE,GEOGRAPHY,GENDER,AGE,TENURE,BALANCE,NUMOFPRODUCTS,HASCRCARD,ISACTIVEMEMBER,ESTIMATEDSALARY,EXITED,TRANSACTIONTIMESTAMP,DEBTTOINCOME
23,415,France,Male,40,8,242397.33,2,1,0,123762.34030091968,0,2025-02-01 16:54:37,95
24,713,Germany,Male,30,1,228145.49,1,1,0,141883.7447102884,0,2025-01-11 13:02:37,85
25,569,France,Male,85,5,111416.93,2,1,1,74944.00092647287,0,2025-01-19 04:08:37,23
26,295,Spain,Male,81,2,34194.52,2,1,1,100244.7978051421,1,2025-01-21 05:44:37,89
27,530,France,Female,42,4,181976.83,4,1,0,128547.78715219111,1,2025-01-12 04:56:37,76
28,759,France,Male,69,1,63925.28,3,1,0,73157.54878606556,0,2025-02-03 07:48:37,80
29,312,France,Male,65,3,42129.45,4,0,1,168550.5758492294,0,2025-01-14 05:48:37,75
30,769,France,Female,78,10,95382.25,4,1,1,64928.80344692278,0,2025-02-02 19:20:37,33
31,755,Spain,Female,34,2,132462.45,2,0,1,163308.25346390868,0,2025-01-16 03:04:37,26
32,463,France,Female,57,1,24360.08,2,1,0,42886.19495410119,0,2025-02-03 05:08:37,73
33,529,France,Female,92,5,142936.62,3,1,0,52075.78449979671,0,2025-01-20 16:02:37,77
34,789,France,Male,86,10,3837.09,3,0,1,183194.89326924508,1,2025-01-19 00:54:37,80
35,411,France,Female,43,2,222967.27,4,1,1,67982.34146011021,1,2025-01-29 09:15:37,91
36,742,France,Male,73,3,230185.42,4,0,0,177344.47435577319,0,2025-01-20 14:12:37,47
37,281,France,Female,57,5,183267.69,2,0,0,157835.8955996953,0,2025-01-19 22:18:37,74
38,436,France,Female,85,4,116637.35,1,0,0,64575.657429470826,0,2025-01-30 14:35:37,93
39,547,Spain,Female,25,3,63724.07,2,0,0,27470.92190115941,0,2025-02-02 16:39:37,72
40,651,Spain,Female,90,3,186028.02,3,0,1,47195.56944607942,0,2025-01-05 08:03:37,63
41,603,France,Female,62,1,232949.3,1,0,0,175086.66525982632,0,2025-01-28 02:38:37,47
42,275,France,Male,34,9,39633.43,4,1,0,175962.7388017322,1,2025-01-13 01:05:37,65
43,530,Spain,Male,58,3,116455.5,4,1,1,85434.98220275028,0,2025-01-23 18:02:37,68
44,607,Spain,Male,94,7,78815.41,3,0,0,44692.2186576386,0,2025-01-07 04:27:37,86
45,594,Spain,Female,26,4,89185.45,2,1,0,24817.86942580644,1,2025-01-31 06:36:37,46
46,348,France,Male,87,10,101439.45,1,1,1,49895.84782176526,0,2025-01-11 10:22:37,98
47,620,France,Female,41,9,237949.09,2,0,1,208944.23943408727,0,2025-01-11 10:02:37,58
48,744,France,Female,90,9,64659.29,3,0,0,40254.64962230214,0,2025-01-16 03:27:37,46
49,692,Spain,Male,28,7,123168.96,2,0,0,30068.771612405755,0,2025-01-21 00:17:37,54
50,798,France,Male,52,5,237871.87,4,0,0,181123.00213346793,0,2025-02-04 01:31:37,66
51,321,France,Female,46,9,119014.22,4,0,0,138095.1905944018,0,2025-01-07 13:34:37,71
52,457,France,Female,25,4,215899.88,1,0,0,126896.82863224672,0,2025-01-26 03:55:37,88
53,357,France,Male,34,3,14691.19,1,0,0,105184.28819458728,0,2025-01-07 06:41:37,85
54,660,France,Female,88,9,238257.6,4,0,1,161177.37486786852,0,2025-01-18 03:55:37,60
55,258,France,Male,29,8,46882.79,1,0,0,137859.47152589724,0,2025-01-10 00:08:37,69
56,679,France,Male,67,9,244983.76,1,0,0,106078.55198171042,0,2025-01-11 10:09:37,64
57,374,France,Female,41,4,43894.22,3,1,0,60552.21855910607,1,2025-01-19 11:54:37,39
58,751,Germany,Female,54,9,111091.49,2,0,1,187275.45057404836,0,2025-01-17 20:26:37,90
59,670,France,Female,95,10,77153.62,3,1,0,43210.48435795414,0,2025-01-11 18:46:37,55
60,436,Spain,Female,28,5,108307.86,1,0,0,106672.14170944625,0,2025-02-02 05:24:37,91
61,464,France,Male,76,6,62631.18,3,1,0,166441.24233045967,0,2025-01-10 00:33:37,89
62,532,France,Female,72,10,241329.35,3,1,0,157193.0946536754,0,2025-01-17 16:37:37,43
63,539,France,Male,44,10,76431.25,4,1,0,146954.89532417513,0,2025-02-02 05:07:37,55
64,740,France,Male,84,0,163318.73,3,0,1,160165.3775255992,0,2025-01-11 20:16:37,24
65,727,France,Female,77,8,34361.87,2,0,0,172889.15853638743,0,2025-02-01 03:36:37,39
66,540,France,Male,19,7,206096.87,4,0,0,78008.35437613554,0,2025-01-17 22:00:37,72
67,579,France,Female,85,10,135626.99,3,1,0,151166.41985575974,0,2025-02-01 13:38:37,59
68,611,Spain,Female,35,4,244861.53,1,0,1,137350.03767747618,0,2025-01-24 12:52:37,69
69,308,Spain,Male,37,2,105850.55,5,0,1,118900.43089437536,0,2025-01-27 08:27:37,93
70,487,France,Male,80,4,48861.97,2,1,1,209570.82289267986,0,2025-01-05 21:07:37,86
71,476,Spain,Male,95,4,86504.75,4,1,0,146403.0192384133,0,2025-01-13 04:33:37,54
72,663,France,Female,89,8,184241.4,4,0,0,94986.1283400638,0,2025-01-10 09:21:37,83
73,751,Spain,Female,19,6,164776.63,2,0,1,185741.5644239364,0,2025-01-13 06:27:37,56
74,312,France,Male,59,1,194586.85,3,1,1,120498.71391609631,1,2025-01-23 11:38:37,64
75,435,France,Female,45,4,18367.57,4,0,0,126153.97719320694,0,2025-01-28 16:53:37,57
76,296,France,Female,46,8,145092.19,3,0,1,135459.140615862,1,2025-01-27 01:35:37,46
77,328,France,Male,86,10,233042.17,2,1,0,85182.72554215085,0,2025-01-24 18:43:37,84
78,797,Germany,Female,45,1,26975.48,4,1,0,159113.29153537488,0,2025-01-30 21:06:37,92
79,632,France,Male,77,7,23583.81,3,0,0,27257.067665545408,0,2025-02-03 07:56:37,22
80,398,France,Male,22,2,179151.09,4,0,0,185106.19633541317,0,2025-01-07 18:31:37,78
81,758,France,Male,32,3,78795.61,4,1,0,149396.68215107758,0,2025-01-22 01:11:37,49
82,332,France,Female,90,1,164644.8,3,1,0,75577.8060588184,0,2025-01-31 17:56:37,35
83,407,Spain,Male,49,8,136346.13,2,0,1,53742.328708140485,0,2025-01-06 23:17:37,48
84,787,Spain,Male,69,5,246516.66,2,0,1,87495.74633520002,0,2025-01-09 01:55:37,89
85,665,Spain,Male,54,8,222264.1,4,1,1,174432.3563033906,0,2025-01-23 03:47:37,97
86,690,France,Male,32,10,169518.2,1,0,0,15877.74195710386,0,2025-01-16 07:26:37,93
87,539,France,Female,58,7,65418.66,2,1,1,101668.05306347704,0,2025-01-27 05:49:37,43
88,645,France,Male,21,8,65477.04,2,0,1,59396.137384147216,0,2025-01-16 01:53:37,26
89,760,France,Female,70,4,220560.95,3,1,0,183521.60453980035,1,2025-01-21 07:18:37,68
90,483,France,Male,44,5,146335.27,2,1,1,86591.2030162711,0,2025-01-09 21:28:37,82
91,319,France,Female,38,6,197320.45,4,1,1,149635.9186484271,0,2025-01-10 23:05:37,65
92,293,Spain,Female,77,4,112466.05,2,1,0,84909.36640893901,0,2025-01-20 17:27:37,67
93,402,France,Female,81,0,25768.41,4,1,0,70771.4421725198,0,2025-01-13 07:10:37,44
94,457,France,Female,88,8,83171.61,1,1,1,77682.96590376848,0,2025-02-02 04:14:37,62
95,291,France,Male,64,1,40287.3,1,0,0,158150.7470133784,0,2025-02-01 05:13:37,74
96,314,France,Male,71,6,195458.2,2,1,0,183943.47034081045,1,2025-01-30 04:13:37,53
97,768,France,Female,48,7,175128.0,1,0,1,47658.851106802904,0,2025-01-24 08:46:37,84
98,694,France,Female,34,7,22103.23,5,0,0,141157.61383626936,1,2025-01-13 02:34:37,47
99,364,Spain,Female,67,0,155346.35,2,1,0,70596.95412901284,0,2025-01-11 19:34:37,60
100,809,Spain,Male,24,9,218533.88,4,1,1,137188.58217125555,0,2025-01-05 12:22:37,48
101,740,Spain,Female,45,6,174341.07,2,0,1,109894.71975136193,0,2025-01-29 19:17:37,51
102,269,France,Female,27,8,127777.98,1,1,1,91171.2573472593,0,2025-02-03 11:29:37,88
103,500,France,Male,44,10,77965.82,4,1,0,105495.74760018424,0,2025-01-11 17:20:37,53
104,788,France,Male,30,10,221774.19,4,0,0,189095.788507327,1,2025-01-20 21:54:37,78
105,677,France,Male,83,2,105701.22,2,1,1,29329.132810132287,1,2025-01-21 02:55:37,80
106,648,France,Male,77,7,213848.4,4,1,1,200192.55830015158,0,2025-01-20 12:59:37,71
107,470,Germany,Male,60,7,195749.96,2,1,1,114679.2710123626,0,2025-01-10 00:03:37,82
108,267,France,Male,86,8,204056.74,3,1,0,80025.83040758623,0,2025-01-13 04:13:37,45
109,732,France,Female,80,7,247449.38,5,1,1,45422.75523271661,0,2025-01-20 16:57:37,96
110,499,Spain,Female,87,4,187189.63,3,0,1,169811.07247644174,0,2025-01-25 01:48:37,31
111,358,France,Male,82,4,8510.23,2,1,0,133898.5345750477,0,2025-01-28 02:18:37,41
112,739,France,Female,84,2,51358.48,1,0,0,167732.45819832972,0,2025-01-24 12:43:37,92
113,679,Spain,Male,71,5,8798.79,4,1,1,74761.11793448393,0,2025-01-12 05:32:37,75
114,511,France,Female,53,9,47478.39,1,0,0,86871.91915746122,0,2025-01-12 21:29:37,25
115,429,Spain,Male,88,2,15359.88,3,1,1,202555.80561902752,0,2025-01-20 04:19:37,55
116,813,France,Male,32,1,125404.26,5,1,1,209861.74044485373,0,2025-02-02 19:40:37,93
117,314,Spain,Female,92,6,7051.55,3,1,0,159128.7233811774,1,2025-01-22 03:48:37,78
118,807,France,Female,35,9,118144.77,1,1,0,173282.05350628783,0,2025-01-07 17:35:37,78
119,417,France,Male,21,2,224710.23,3,0,1,144853.5859215316,0,2025-01-08 01:58:37,87
120,495,France,Male,28,3,187144.0,2,0,0,130229.46527476277,0,2025-01-05 15:15:37,71
121,362,France,Male,23,10,235988.98,1,1,0,145842.32872353186,0,2025-01-20 21:50:37,87
122,316,Spain,Male,68,9,56661.69,4,0,1,218365.052329397,1,2025-01-12 07:57:37,96
123,621,France,Male,75,7,132771.45,2,0,0,159847.75712308774,0,2025-01-21 02:42:37,99
124,616,Spain,Male,77,0,79644.86,5,0,0,146156.36144642468,0,2025-01-16 20:16:37,70
125,762,France,Female,35,8,123454.95,4,0,1,48282.31759254344,0,2025-01-27 23:40:37,87
126,619,Germany,Female,84,5,139268.96,3,0,1,191366.69473700447,0,2025-02-03 07:32:37,45
127,756,France,Female,34,1,9046.53,3,0,0,112527.91222096253,0,2025-01-17 20:48:37,92
128,482,France,Female,51,2,58314.03,4,0,0,220561.89112588807,0,2025-01-12 03:15:37,60
129,463,Spain,Female,47,4,176193.19,4,1,1,155082.11086324308,0,2025-02-03 02:22:37,94
130,489,Germany,Male,36,10,193232.01,1,1,1,19309.242010135666,0,2025-01-19 01:59:37,24
131,648,Germany,Male,26,5,142362.84,4,0,0,111887.75154338394,0,2025-02-01 17:13:37,72
132,639,France,Female,57,8,67707.26,5,0,1,186624.76147573214,0,2025-01-08 04:43:37,57
133,553,France,Male,61,1,101271.03,1,0,0,23454.882281994636,0,2025-01-21 13:22:37,72
134,543,France,Female,76,4,24009.2,4,1,1,179667.2802301849,0,2025-02-03 15:47:37,75
135,641,Spain,Female,42,6,238294.9,2,0,1,128143.90427739771,0,2025-01-10 04:54:37,38
136,714,France,Male,88,10,217169.37,2,1,0,17795.15117041063,0,2025-01-13 06:18:37,84
137,682,France,Male,70,10,16400.59,1,1,0,78903.02336980522,1,2025-02-02 18:40:37,88
138,576,Spain,Female,65,6,41622.67,5,0,1,17245.82590759902,0,2025-01-25 04:54:37,72
139,496,Spain,Female,88,3,145273.61,2,0,0,11513.686170877148,0,2025-01-05 21:15:37,38
140,500,Spain,Female,70,2,58107.52,4,1,0,200227.30303036678,0,2025-01-27 01:57:37,85
141,640,Spain,Female,66,7,233600.17,2,1,0,165162.924260183,1,2025-01-22 11:25:37,67
142,745,France,Male,60,1,188897.65,1,1,0,69727.94030877604,0,2025-01-26 04:34:37,85
143,505,France,Female,36,4,68322.88,2,0,0,30594.75342527896,0,2025-01-19 01:44:37,92
144,391,Spain,Male,83,9,1525.35,1,0,1,23600.47654030441,0,2025-01-19 23:17:37,37
145,764,France,Female,51,4,199861.85,4,1,0,198695.26318461492,1,2025-01-06 10:56:37,99
146,714,France,Female,90,0,106022.43,2,0,0,126662.50256164941,0,2025-01-30 18:34:37,58
147,542,Spain,Male,71,6,160594.43,3,1,0,39856.56646638276,0,2025-01-05 10:37:37,92
148,784,Spain,Male,18,3,71743.71,4,1,0,150390.38943836998,0,2025-01-26 17:33:37,70
149,640,Germany,Male,72,9,35718.31,3,1,0,202015.72128320657,0,2025-02-02 11:49:37,42
150,654,France,Male,32,1,168827.9,3,0,0,188554.21201333223,1,2025-01-30 04:44:37,52
151,381,France,Male,32,7,112581.15,1,1,0,101929.3043552286,0,2025-01-30 01:07:37,79
152,332,Germany,Female,40,3,58792.43,3,1,1,196743.7013378621,1,2025-02-01 08:51:37,78
153,370,France,Female,83,0,34407.0,4,0,0,171638.6166352522,0,2025-01-08 14:14:37,45
154,268,Spain,Female,63,7,145119.9,2,1,1,30942.527042172216,1,2025-01-05 09:40:37,36
155,490,Germany,Male,26,10,181387.49,2,1,0,194659.66751640884,0,2025-01-20 15:06:37,72
156,482,France,Male,83,6,70971.74,4,1,0,175043.8808576648,0,2025-01-24 00:09:37,97
157,644,Germany,Male,83,2,183785.63,3,1,0,137167.3054026478,0,2025-02-01 02:56:37,96
158,653,France,Female,35,2,45780.55,2,1,0,112064.12369595916,0,2025-01-27 23:45:37,62
159,412,France,Male,34,6,84603.92,3,1,0,63244.25503028062,0,2025-01-29 23:52:37,67
160,333,France,Female,89,1,186220.57,4,1,0,168278.68338195246,1,2025-01-30 23:43:37,39
161,705,Spain,Female,51,4,165035.88,3,1,0,101874.22839554718,0,2025-01-24 11:00:37,54
162,516,France,Female,86,6,67630.91,3,1,0,140061.4734491273,1,2025-01-19 23:37:37,52
163,704,France,Male,81,5,30533.75,4,0,1,44462.3799526051,0,2025-02-01 06:27:37,95
164,461,France,Female,61,9,10618.36,2,0,0,60165.17451695538,0,2025-01-12 22:54:37,21
165,464,Germany,Female,46,6,209478.79,2,1,1,191105.80999133244,0,2025-01-16 12:59:37,53
166,404,France,Female,79,1,18785.49,3,0,1,113906.5161040094,1,2025-01-11 05:00:37,95
167,671,France,Male,33,6,28711.29,2,0,1,188807.07474726756,0,2025-01-17 21:24:37,51
168,564,France,Female,95,1,59427.66,5,0,1,167724.43173362978,0,2025-01-19 04:49:37,40
169,530,Spain,Male,69,6,111417.43,3,0,1,189504.67072044543,0,2025-01-12 21:10:37,24
170,481,France,Male,19,7,197446.77,3,0,1,190844.17094002242,0,2025-01-17 19:54:37,47
171,790,Germany,Female,78,9,61870.08,3,1,1,99707.5193523022,0,2025-01-14 20:11:37,67
172,413,France,Female,21,7,135877.06,1,1,1,191664.7749766502,1,2025-01-28 20:22:37,88
173,453,France,Male,69,4,22593.13,1,1,0,79910.77662402828,0,2025-01-31 00:20:37,89
174,395,France,Female,58,6,116127.75,4,0,0,133559.38633816896,0,2025-01-09 22:17:37,59
175,462,France,Male,69,10,44409.75,3,0,1,161346.50566353172,0,2025-01-13 13:47:37,25
176,610,France,Male,48,7,52797.89,4,0,0,220136.78501971075,1,2025-01-05 02:41:37,33
177,744,Spain,Male,43,3,91707.11,1,0,1,123105.83421727143,0,2025-01-06 23:42:37,86
178,623,France,Female,44,1,190336.92,3,0,1,85600.64079174733,0,2025-01-29 09:39:37,30
179,682,France,Male,68,6,185996.61,1,1,0,166670.34117096628,0,2025-01-25 02:10:37,58
180,601,France,Male,65,0,103743.24,3,1,0,110922.76333893754,1,2025-02-02 07:59:37,60
181,793,Germany,Female,28,1,29667.79,4,0,0,137324.39346916226,1,2025-01-26 23:57:37,43
182,409,Spain,Female,25,9,70172.91,4,0,0,188861.11021152974,1,2025-01-16 17:45:37,62
183,435,France,Male,29,6,126338.94,4,0,1,187295.06437922778,0,2025-01-09 23:51:37,93
184,777,France,Male,62,9,217352.94,1,0,0,67371.69534283575,0,2025-02-02 15:22:37,45
185,827,France,Male,51,0,242063.65,4,0,0,133894.04129402607,0,2025-01-09 16:43:37,48
186,599,Spain,Female,94,6,159367.73,2,0,0,16618.149299833953,0,2025-02-03 15:46:37,21
187,760,France,Male,89,4,87671.62,2,1,1,159886.89290089198,0,2025-01-09 13:10:37,49
188,440,France,Male,64,10,173363.36,4,1,0,34745.63967134534,1,2025-01-30 17:15:37,93
189,690,France,Female,38,2,84057.53,4,1,0,189812.15442010836,0,2025-01-11 05:27:37,95
190,568,Spain,Female,58,10,156368.36,1,1,1,85385.28479756346,0,2025-02-03 06:17:37,76
191,531,France,Male,92,1,60941.64,4,1,1,44689.89740660291,0,2025-01-30 11:48:37,78
192,400,France,Female,39,6,66747.18,1,0,1,171091.5286051896,0,2025-01-09 05:28:37,38
193,603,France,Male,38,8,18806.4,1,1,1,48437.92417817866,0,2025-01-24 11:52:37,73
194,283,France,Male,45,8,105035.29,4,0,0,84932.79739358304,0,2025-01-23 02:50:37,89
195,591,Spain,Female,84,9,154543.63,2,1,0,119100.54116644364,0,2025-01-09 13:58:37,42
196,542,France,Male,88,9,197198.74,3,1,0,86346.35880486903,0,2025-01-21 01:10:37,52
197,739,France,Male,31,7,202587.14,2,1,0,46380.76687810533,0,2025-01-27 03:43:37,85
198,311,France,Female,90,1,248111.11,1,0,1,91819.87203898889,0,2025-02-01 21:18:37,98
199,417,France,Male,69,0,21938.93,2,0,0,37235.60615859501,0,2025-01-16 19:29:37,30
200,290,France,Female,60,7,123284.19,2,1,0,168172.31334221884,0,2025-02-01 02:27:37,37
201,483,France,Male,88,1,130343.64,4,1,1,47913.22165508845,0,2025-02-02 20:37:37,84
202,351,France,Female,93,3,201133.36,2,1,1,107474.2035106155,1,2025-01-09 12:57:37,51
203,480,France,Female,36,3,66589.63,3,1,1,114788.90736293729,0,2025-01-05 02:34:37,23
204,405,France,Female,44,1,17343.08,4,0,0,213954.7442510074,1,2025-01-14 12:38:37,55
205,686,France,Female,35,3,78439.7,3,0,1,29213.99570962709,0,2025-02-02 14:06:37,76
206,419,France,Female,30,6,245981.96,1,0,0,185771.4054219485,0,2025-01-18 03:45:37,52
207,308,France,Female,18,5,224860.3,2,1,1,54552.27568857935,0,2025-01-22 04:17:37,33
208,407,France,Male,51,9,98811.74,2,1,1,179298.5587824181,0,2025-01-21 09:23:37,67
209,695,France,Male,30,5,219068.0,1,0,1,26430.288160382173,0,2025-01-30 11:20:37,56
210,674,France,Female,68,3,8188.62,2,1,0,223862.62197509338,0,2025-02-03 03:45:37,24
211,361,France,Male,18,1,78551.02,4,0,1,158184.96607013376,0,2025-01-13 07:58:37,69
212,526,France,Female,45,4,181702.96,1,0,1,24718.05002306307,0,2025-01-30 22:44:37,80
213,494,Spain,Female,49,10,55363.06,3,0,0,51709.329487392315,0,2025-01-17 12:23:37,88
214,399,France,Male,89,2,49597.74,2,0,0,124665.28875841024,0,2025-01-28 05:19:37,57
215,770,France,Female,72,2,215451.89,3,1,1,108396.31470752816,1,2025-01-25 05:04:37,65
216,746,Spain,Male,43,3,153988.49,1,0,0,135096.54874772404,1,2025-01-09 10:18:37,34
217,357,Germany,Female,31,10,247255.68,1,0,0,95714.87346835577,0,2025-01-07 18:29:37,56
218,436,France,Female,85,10,33667.42,2,1,0,159481.10610867664,1,2025-01-20 05:12:37,46
219,589,France,Male,80,4,89032.1,3,1,0,76465.48861626445,0,2025-01-21 08:26:37,20
220,439,Germany,Female,31,10,77803.34,4,0,1,43382.203218224095,0,2025-01-29 00:26:37,48
221,436,Spain,Female,44,1,220033.06,3,0,0,16037.004779846706,0,2025-01-09 13:43:37,91
222,676,Spain,Female,58,5,63824.13,1,1,0,81841.64784203058,0,2025-01-27 14:17:37,26
223,559,France,Male,20,5,88365.25,3,1,1,101117.81216775328,0,2025-01-29 04:35:37,48
224,778,France,Male,76,7,35708.47,1,1,1,133766.16565927793,0,2025-02-03 18:43:37,50
225,648,France,Male,40,1,193850.25,4,1,1,174343.64816615084,0,2025-02-03 21:42:37,57
226,401,France,Male,35,7,59425.82,1,0,0,62019.60074300556,1,2025-01-29 23:07:37,27
227,456,France,Male,91,7,17080.07,5,1,1,121288.85986547994,1,2025-01-31 20:43:37,56
228,675,Spain,Female,93,3,108777.18,4,1,0,52499.28989061494,0,2025-01-08 13:35:37,78
229,318,Germany,Male,58,6,97864.53,5,0,1,198462.5610169115,0,2025-01-23 13:03:37,98
230,745,France,Male,25,6,44402.3,3,1,0,146867.84852036415,0,2025-01-11 15:25:37,73
231,730,France,Female,49,0,33399.39,4,0,0,132403.31788084545,0,2025-01-24 20:52:37,77
232,660,France,Female,58,0,224139.3,2,1,0,112139.71508967176,0,2025-01-19 17:47:37,45
233,299,France,Male,62,7,16961.12,1,1,1,72204.44848245617,0,2025-01-09 04:06:37,67
234,293,Germany,Female,95,10,24827.74,1,0,1,49953.69892376172,0,2025-01-29 21:53:37,30
235,495,France,Female,26,0,61261.82,1,0,1,130871.20125437218,0,2025-01-25 05:47:37,42
236,641,France,Female,65,2,238209.8,1,0,0,204867.6676693125,0,2025-01-27 17:51:37,53
237,702,France,Male,41,5,21346.06,4,0,1,51081.088355232685,0,2025-01-11 14:47:37,52
238,555,Spain,Female,61,7,204003.71,3,1,0,133513.68092699445,0,2025-01-14 08:08:37,21
239,297,France,Female,75,4,223013.04,3,0,0,129926.62846805989,1,2025-01-30 06:29:37,80
240,482,France,Male,83,4,94466.94,3,0,0,142726.39784544831,0,2025-01-27 12:05:37,23
241,560,France,Female,35,3,73473.6,4,0,1,133822.05517627773,0,2025-01-22 16:06:37,31
242,564,Spain,Female,46,3,169344.43,1,1,0,66690.98684470187,1,2025-01-13 11:52:37,48
243,756,France,Male,92,6,175658.65,3,0,1,163196.4721637174,0,2025-01-16 18:32:37,61
244,726,Spain,Male,19,5,194994.29,2,1,0,62449.9070497857,0,2025-01-11 15:07:37,76
245,795,France,Male,95,7,207641.7,4,0,0,140823.9850075452,0,2025-01-12 11:03:37,69
246,803,France,Female,85,10,67098.86,2,0,1,78626.9167277992,0,2025-01-22 02:59:37,85
247,455,France,Male,56,5,171740.4,4,1,0,29019.55112821676,0,2025-02-02 06:32:37,26
248,318,France,Male,90,10,33726.43,3,1,0,35198.33634518889,0,2025-01-23 09:42:37,76
249,771,Germany,Female,58,9,127682.83,5,1,0,195124.4909109464,0,2025-01-17 02:16:37,65
250,303,Germany,Female,88,6,153221.73,5,0,0,33378.35783555111,0,2025-01-24 18:01:37,41
251,445,France,Female,92,9,40432.98,4,0,1,80699.30394235559,0,2025-01-29 13:58:37,30
252,490,France,Female,39,9,19126.63,2,0,1,76878.53056453017,0,2025-01-08 07:54:37,52
253,423,Germany,Female,66,4,48686.57,4,1,0,22959.94875083889,0,2025-01-23 13:48:37,73
254,727,France,Male,45,5,105147.19,1,1,1,142478.50605740544,0,2025-01-11 11:20:37,39
255,313,France,Male,33,0,221960.24,1,0,1,183423.29615665512,0,2025-01-23 07:57:37,24
256,648,France,Male,85,2,132978.61,2,1,1,231586.16607323894,0,2025-01-17 14:44:37,87
257,775,Spain,Female,79,7,187123.22,4,1,0,223948.43822991525,0,2025-02-01 21:22:37,33
258,370,France,Male,53,2,43536.13,3,0,1,18511.440862654337,0,2025-01-12 10:33:37,22
259,312,France,Female,39,0,26494.55,4,0,1,56390.88556585854,1,2025-01-05 04:07:37,77
260,565,France,Female,28,2,59904.34,1,0,1,97009.5858047983,1,2025-02-01 18:19:37,46
261,623,France,Male,59,3,78470.1,3,0,0,209487.18053340502,0,2025-01-28 02:32:37,23
262,755,France,Male,72,7,137025.5,4,0,0,84016.64881244345,0,2025-01-25 07:52:37,86
263,570,Germany,Female,90,8,220310.83,4,0,1,137290.32333289465,0,2025-01-16 14:26:37,83
264,439,Spain,Female,52,3,106523.15,2,0,1,154535.36836644076,1,2025-01-17 16:15:37,61
265,376,France,Male,74,6,129699.55,3,0,0,71578.96704877693,0,2025-01-20 23:15:37,48
266,368,France,Male,51,0,1153.38,3,0,0,130008.39510585336,0,2025-01-15 06:30:37,99
267,455,France,Female,90,8,8328.02,2,0,1,20828.841041830106,0,2025-01-07 20:14:37,54
268,526,France,Female,94,10,20942.3,4,1,0,102555.90213312533,0,2025-01-29 19:41:37,38
269,446,France,Female,87,3,174748.52,1,0,1,95412.51203160356,0,2025-01-13 18:08:37,98
270,513,Germany,Female,21,8,121547.84,1,0,0,77779.01480957204,0,2025-01-19 02:47:37,88
271,586,France,Male,63,2,48240.3,3,0,0,64284.355556316696,1,2025-01-26 22:57:37,50
272,413,France,Male,28,10,148149.86,1,1,1,171973.0187342884,0,2025-01-21 00:51:37,62
273,271,France,Female,78,4,136153.04,4,1,0,169863.35250746453,0,2025-01-15 13:04:37,92
274,606,France,Female,52,0,22199.83,2,0,0,177331.3472918943,0,2025-01-20 09:32:37,96
275,560,France,Male,86,10,160103.19,4,0,0,99921.3715973418,0,2025-01-17 01:22:37,40
276,414,France,Female,74,2,191788.72,1,0,0,58180.90204199415,0,2025-01-25 09:52:37,84
277,774,France,Female,28,4,71638.6,4,1,0,32563.81749605536,0,2025-02-01 05:20:37,96
